name,description,category,price,manufacturer,prescription_required
Abacavir,Nucleoside reverse transcriptase inhibitor used to treat HIV/AIDS,Antiviral,450.0,Cipla,True
Acarbose,Alpha-glucosidase inhibitor used to treat type 2 diabetes,Diabetes,120.0,Sun Pharma,True
Acetazolamide,Carbonic anhydrase inhibitor used to treat glaucoma and altitude sickness,Diuretic,85.0,Alkem,True
Acyclovir,Antiviral medication used to treat herpes infections,Antiviral,180.0,GSK,False
Albendazole,Medication used to treat parasitic worm infestations,Antiparasitic,45.0,Mankind,False
Albuterol,Bronchodilator that relaxes muscles in the airways,Respiratory,220.0,Cipla,False
Alendronate,Bisphosphonate medication used to treat osteoporosis,Bone Health,320.0,Dr. Reddy's,True
Allopurinol,Medication used to decrease high blood uric acid levels,Gout,65.0,Intas,True
Alprazolam,Benzodiazepine used to treat anxiety and panic disorders,Mental Health,110.0,Torrent,True
Amiodarone,Antiarrhythmic medication used to treat irregular heartbeat,Cardiovascular,290.0,Zydus,True
Amitriptyline,Tricyclic antidepressant used to treat depression,Mental Health,75.0,Sun Pharma,True
Amlodipine,Calcium channel blocker used to treat high blood pressure and chest pain,Cardiovascular,38.0,Torrent,True
Amoxicillin,Broad-spectrum antibiotic used to treat bacterial infections,Antibiotic,45.0,Cipla,True
Ampicillin,Penicillin-type antibiotic used to treat bacterial infections,Antibiotic,60.0,Alembic,True
Aripiprazole,Atypical antipsychotic used to treat schizophrenia and bipolar disorder,Mental Health,450.0,Sun Pharma,True
Aspirin,Blood-thinning medication that reduces pain, fever, and inflammation,Pain Relief,12.0,Bayer,False
Atenolol,Beta-blocker used to treat high blood pressure and chest pain,Cardiovascular,25.0,Cipla,True
Atorvastatin,Statin medication that lowers cholesterol levels,Cardiovascular,50.0,Lupin,True
Azithromycin,Antibiotic used to treat various bacterial infections including respiratory infections,Antibiotic,55.0,Alembic,True
Baclofen,Muscle relaxant used to treat muscle spasms and stiffness,Muscle Relaxant,95.0,Intas,True
Beclomethasone,Corticosteroid used to treat asthma and allergic rhinitis,Respiratory,280.0,Cipla,True
Benzonatate,Non-narcotic cough suppressant,Respiratory,120.0,Mankind,False
Betamethasone,Corticosteroid used to treat inflammation and allergic reactions,Anti-inflammatory,110.0,GSK,True
Bisacodyl,Stimulant laxative used to treat constipation,Digestive,35.0,Abbott,False
Bisoprolol,Beta-blocker used to treat high blood pressure and heart failure,Cardiovascular,85.0,Torrent,True
Budesonide,Corticosteroid used to treat asthma and COPD,Respiratory,320.0,AstraZeneca,True
Bupropion,Antidepressant used to treat depression and aid in smoking cessation,Mental Health,280.0,Sun Pharma,True
Buspirone,Anti-anxiety medication,Mental Health,190.0,Dr. Reddy's,True
Calcitriol,Active form of vitamin D used to treat vitamin D deficiency,Vitamins,150.0,Cipla,True
Candesartan,Angiotensin II receptor blocker used to treat high blood pressure,Cardiovascular,120.0,AstraZeneca,True
Captopril,ACE inhibitor used to treat high blood pressure and heart failure,Cardiovascular,45.0,Zydus,True
Carbamazepine,Anticonvulsant used to treat seizures and nerve pain,Neurology,75.0,Sun Pharma,True
Carbidopa-Levodopa,Combination medication used to treat Parkinson's disease,Neurology,320.0,Sun Pharma,True
Carvedilol,Alpha/beta-blocker used to treat heart failure and high blood pressure,Cardiovascular,110.0,Dr. Reddy's,True
Cefadroxil,Cephalosporin antibiotic used to treat bacterial infections,Antibiotic,85.0,Alkem,True
Cefixime,Third-generation cephalosporin antibiotic,Antibiotic,120.0,Lupin,True
Cefpodoxime,Third-generation cephalosporin antibiotic,Antibiotic,150.0,Cipla,True
Ceftriaxone,Third-generation cephalosporin antibiotic,Antibiotic,180.0,Alkem,True
Cephalexin,First-generation cephalosporin antibiotic,Antibiotic,65.0,GSK,True
Cetirizine,Antihistamine that treats allergy symptoms such as sneezing, itching, watery eyes, and runny nose,Allergy,28.0,Sun Pharma,False
Chloramphenicol,Broad-spectrum antibiotic used to treat serious infections,Antibiotic,95.0,Cipla,True
Chlordiazepoxide,Benzodiazepine used to treat anxiety and alcohol withdrawal,Mental Health,110.0,Sun Pharma,True
Chloroquine,Antimalarial medication also used to treat autoimmune diseases,Antimalarial,75.0,IPCA,True
Chlorpheniramine,Antihistamine used to treat allergy symptoms,Allergy,15.0,Cipla,False
Chlorpromazine,Antipsychotic medication used to treat schizophrenia,Mental Health,65.0,Sun Pharma,True
Chlorthalidone,Thiazide diuretic used to treat high blood pressure and fluid retention,Diuretic,45.0,Ipca,True
Cholecalciferol,Vitamin D3 supplement used to treat vitamin D deficiency,Vitamins,25.0,USV,False
Cimetidine,H2 blocker that decreases stomach acid production,Digestive,35.0,GSK,False
Ciprofloxacin,Fluoroquinolone antibiotic used to treat bacterial infections,Antibiotic,85.0,Cipla,True
Citalopram,SSRI antidepressant used to treat depression and anxiety,Mental Health,120.0,Torrent,True
Clarithromycin,Macrolide antibiotic used to treat bacterial infections,Antibiotic,150.0,Abbott,True
Clindamycin,Lincosamide antibiotic used to treat bacterial infections,Antibiotic,95.0,Pfizer,True
Clobetasol,High-potency corticosteroid used to treat skin conditions,Dermatology,180.0,GSK,True
Clomipramine,Tricyclic antidepressant used to treat OCD and depression,Mental Health,110.0,Sun Pharma,True
Clonazepam,Benzodiazepine used to treat seizures and panic disorders,Neurology,85.0,Roche,True
Clonidine,Medication used to treat high blood pressure and ADHD,Cardiovascular,65.0,Boehringer Ingelheim,True
Clopidogrel,Antiplatelet medication that prevents blood clots,Cardiovascular,65.0,Sun Pharma,True
Clotrimazole,Antifungal medication used to treat fungal infections,Antifungal,45.0,Bayer,False
